branch,division,dept,category,subcat,displaya,buyerid,supplier_code,period,amount,paymentid,remarks
"S339","SP","OPS","C000000011","S000000017"," "," ","13100046","May 01-31 2014",2796.000000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100072","May 01-31 2014",932.000000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100073","May 01-31 2014",932.000000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100095","May 01-31 2014",932.000000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100190","May 01-31 2014",2796.000000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100237","May 01-31 2014",1398.000000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100240","May 01-31 2014",2796.000000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100265","May 01-31 2014",5592.000000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100856","May 01-31 2014",5592.000000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100927","May 01-31 2014",932.000000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100983","May 01-31 2014",5592.000000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13101001","May 01-31 2014",699.000000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13101023","May 01-31 2014",1398.000000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13101035","May 01-31 2014",1398.000000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13200002","May 01-31 2014",5592.000000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13300143","May 01-31 2014",5592.000000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13300298","May 01-31 2014",2796.000000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100015","May 01-31 2014",2638.725000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100200","May 01-31 2014",1065.975000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100982","May 01-31 2014",8.737500,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100436","May 01-31 2014",8.737500,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100380","May 01-31 2014",2796.000000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13101043","May 01-31 2014",2796.000000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100888","May 01-31 2014",978.600000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100889","May 01-31 2014",978.600000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100890","May 01-31 2014",978.600000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100891","May 01-31 2014",978.600000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100893","May 01-31 2014",978.600000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100894","May 01-31 2014",978.600000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100896","May 01-31 2014",978.600000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100897","May 01-31 2014",978.600000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100898","May 01-31 2014",978.600000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100899","May 01-31 2014",978.600000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100923","May 01-31 2014",699.000000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13101024","May 01-31 2014",699.000000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100342","May 01-31 2014",2796.000000,2,"for the month of May 01-31 2014"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100423","May 01-31 2014",2796.000000,2,"for the month of May 01-31 2014"
