branch,division,dept,category,subcat,displaya,buyerid,supplier_code,period,amount,paymentid,remarks
S304,SP,OPS,C000000011,S000000017, , ,13100008,December 01-31 2014,2796,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100013,December 01-31 2014,1398,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100073,December 01-31 2014,932,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100237,December 01-31 2014,2796,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100412,December 01-31 2014,1398,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100536,December 01-31 2014,2796,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100880,December 01-31 2014,932,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100999,December 01-31 2014,932,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13101054,December 01-31 2014,932,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13300317,December 01-31 2014,2796,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100015,December 01-31 2014,2230.975,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100095,December 01-31 2014,1398,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100138,December 01-31 2014,58.25,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100167,December 01-31 2014,133.975,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100229,December 01-31 2014,17.475,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100399,December 01-31 2014,1182.475,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100408,December 01-31 2014,308.725,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100423,December 01-31 2014,658.225,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100782,December 01-31 2014,541.725,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100927,December 01-31 2014,466,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13101058,December 01-31 2014,250.475,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13300007,December 01-31 2014,658.225,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13300124,December 01-31 2014,366.975,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13300181,December 01-31 2014,192.225,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13300298,December 01-31 2014,4485.25,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13300309,December 01-31 2014,58.25,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100215,December 01-31 2014,699,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100751,December 01-31 2014,699,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100904,December 01-31 2014,699,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100303,December 01-31 2014,2796,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13300151,December 01-31 2014,2796,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100337,December 01-31 2014,699,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100748,December 01-31 2014,699,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100177,December 01-31 2014,2.9125,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100256,December 01-31 2014,2.9125,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100297,December 01-31 2014,2.9125,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100358,December 01-31 2014,2.9125,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100363,December 01-31 2014,2.9125,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100313,December 01-31 2014,2.9125,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100107,December 01-31 2014,66.9875,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100058,December 01-31 2014,66.9875,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13100923,December 01-31 2014,699,2,for the month of December 01-31 2014
S304,SP,OPS,C000000011,S000000017, , ,13101024,December 01-31 2014,699,2,for the month of December 01-31 2014
