branch,division,dept,category,subcat,displaya,buyerid,supplier_code,period,amount,paymentid,remarks
S306,SP,OPS,C000000011,S000000017, , ,13100062,July 01-31 2016,1398,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100113,July 01-31 2016,2097,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100190,July 01-31 2016,1398,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100205,July 01-31 2016,2796,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100314,July 01-31 2016,1398,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100366,July 01-31 2016,1398,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100423,July 01-31 2016,2796,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100728,July 01-31 2016,1398,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100748,July 01-31 2016,699,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100881,July 01-31 2016,932,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100923,July 01-31 2016,233,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100940,July 01-31 2016,2563,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100948,July 01-31 2016,932,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100999,July 01-31 2016,932,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13101001,July 01-31 2016,466,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13101060,July 01-31 2016,932,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13101098,July 01-31 2016,932,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13300124,July 01-31 2016,2796,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13300181,July 01-31 2016,1864,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13300309,July 01-31 2016,2796,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13300510,July 01-31 2016,466,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100167,July 01-31 2016,58.25,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100782,July 01-31 2016,757.25,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100789,July 01-31 2016,17.475,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100856,July 01-31 2016,425.225,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13200002,July 01-31 2016,2988.225,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13300143,July 01-31 2016,524.25,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100204,July 01-31 2016,854.333333,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100407,July 01-31 2016,854.333333,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100731,July 01-31 2016,854.333333,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13101078,July 01-31 2016,854.333333,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13101081,July 01-31 2016,854.333333,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13101096,July 01-31 2016,854.333333,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13300251,July 01-31 2016,8.7375,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100292,July 01-31 2016,8.7375,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100779,July 01-31 2016,116.5,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100780,July 01-31 2016,116.5,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100215,July 01-31 2016,1475.666667,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100412,July 01-31 2016,1475.666667,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100904,July 01-31 2016,1475.666667,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100983,July 01-31 2016,1601.875,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100984,July 01-31 2016,1601.875,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13101015,July 01-31 2016,640.75,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13101033,July 01-31 2016,640.75,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100058,July 01-31 2016,203.875,2,for the month of July 01-31 2016
S306,SP,OPS,C000000011,S000000017, , ,13100107,July 01-31 2016,203.875,2,for the month of July 01-31 2016
