branch,division,dept,category,subcat,displaya,buyerid,itmdept,supplier_code,period,amount,paymentid,remarks
"S313","SP","OPS","C000000011","S000000017"," "," ","","13100104","September 01-30 2021",1611.120000,2,"for the month of September 01-30 2021"
"S313","SP","OPS","C000000011","S000000017"," "," ","","13100204","September 01-30 2021",1208.340000,2,"for the month of September 01-30 2021"
"S313","SP","OPS","C000000011","S000000017"," "," ","","13100308","September 01-30 2021",3222.240000,2,"for the month of September 01-30 2021"
"S313","SP","OPS","C000000011","S000000017"," "," ","","13100728","September 01-30 2021",1611.120000,2,"for the month of September 01-30 2021"
"S313","SP","OPS","C000000011","S000000017"," "," ","","13100843","September 01-30 2021",1611.120000,2,"for the month of September 01-30 2021"
"S313","SP","OPS","C000000011","S000000017"," "," ","","13101125","September 01-30 2021",1074.080000,2,"for the month of September 01-30 2021"
"S313","SP","OPS","C000000011","S000000017"," "," ","","13101225","September 01-30 2021",1074.080000,2,"for the month of September 01-30 2021"
"S313","SP","OPS","C000000011","S000000017"," "," ","","13300510","September 01-30 2021",1074.080000,2,"for the month of September 01-30 2021"
"S313","SP","OPS","C000000011","S000000017"," "," ","","13100323","September 01-30 2021",537.040000,2,"for the month of September 01-30 2021"
"S313","SP","OPS","C000000011","S000000017"," "," ","","13100366","September 01-30 2021",490.049000,2,"for the month of September 01-30 2021"
"S313","SP","OPS","C000000011","S000000017"," "," ","","13100421","September 01-30 2021",2973.859000,2,"for the month of September 01-30 2021"
"S313","SP","OPS","C000000011","S000000017"," "," ","","13100696","September 01-30 2021",402.780000,2,"for the month of September 01-30 2021"
"S313","SP","OPS","C000000011","S000000017"," "," ","","13100703","September 01-30 2021",134.260000,2,"for the month of September 01-30 2021"
"S313","SP","OPS","C000000011","S000000017"," "," ","","13101208","September 01-30 2021",805.560000,2,"for the month of September 01-30 2021"
"S313","SP","OPS","C000000011","S000000017"," "," ","","13101209","September 01-30 2021",2973.859000,2,"for the month of September 01-30 2021"
"S313","SP","OPS","C000000011","S000000017"," "," ","","13300143","September 01-30 2021",758.569000,2,"for the month of September 01-30 2021"
"S313","SP","OPS","C000000011","S000000017"," "," ","","13300309","September 01-30 2021",2148.160000,2,"for the month of September 01-30 2021"
"S313","SP","OPS","C000000011","S000000017"," "," ","","13100235","September 01-30 2021",3443.769000,2,"for the month of September 01-30 2021"
"S313","SP","OPS","C000000011","S000000017"," "," ","","13100923","September 01-30 2021",1443.295000,2,"for the month of September 01-30 2021"
"S313","SP","OPS","C000000011","S000000017"," "," ","","13101110","September 01-30 2021",1443.295000,2,"for the month of September 01-30 2021"
"S313","SP","OPS","C000000011","S000000017"," "," ","","13100904","September 01-30 2021",134.260000,2,"for the month of September 01-30 2021"
"S313","SP","OPS","C000000011","S000000017"," "," ","","13101010","September 01-30 2021",134.260000,2,"for the month of September 01-30 2021"
