branch,division,dept,category,subcat,displaya,buyerid,itmdept,supplier_code,period,amount,paymentid,remarks
"S318","SP","OPS","C000000011","S000000017"," "," ","","13100195","May 01-31 2021",1074.080000,2,"for the month of May 01-31 2021"
"S318","SP","OPS","C000000011","S000000017"," "," ","","13100308","May 01-31 2021",3222.240000,2,"for the month of May 01-31 2021"
"S318","SP","OPS","C000000011","S000000017"," "," ","","13100323","May 01-31 2021",1074.080000,2,"for the month of May 01-31 2021"
"S318","SP","OPS","C000000011","S000000017"," "," ","","13100366","May 01-31 2021",1611.120000,2,"for the month of May 01-31 2021"
"S318","SP","OPS","C000000011","S000000017"," "," ","","13100408","May 01-31 2021",1074.080000,2,"for the month of May 01-31 2021"
"S318","SP","OPS","C000000011","S000000017"," "," ","","13101125","May 01-31 2021",1074.080000,2,"for the month of May 01-31 2021"
"S318","SP","OPS","C000000011","S000000017"," "," ","","13101208","May 01-31 2021",1074.080000,2,"for the month of May 01-31 2021"
"S318","SP","OPS","C000000011","S000000017"," "," ","","13101210","May 01-31 2021",1611.120000,2,"for the month of May 01-31 2021"
"S318","SP","OPS","C000000011","S000000017"," "," ","","13300143","May 01-31 2021",1074.080000,2,"for the month of May 01-31 2021"
"S318","SP","OPS","C000000011","S000000017"," "," ","","13300510","May 01-31 2021",1074.080000,2,"for the month of May 01-31 2021"
"S318","SP","OPS","C000000011","S000000017"," "," ","","13100046","May 01-31 2021",2685.200000,2,"for the month of May 01-31 2021"
"S318","SP","OPS","C000000011","S000000017"," "," ","","13100204","May 01-31 2021",537.040000,2,"for the month of May 01-31 2021"
"S318","SP","OPS","C000000011","S000000017"," "," ","","13100235","May 01-31 2021",1832.649000,2,"for the month of May 01-31 2021"
"S318","SP","OPS","C000000011","S000000017"," "," ","","13100265","May 01-31 2021",2369.689000,2,"for the month of May 01-31 2021"
"S318","SP","OPS","C000000011","S000000017"," "," ","","13100421","May 01-31 2021",2705.339000,2,"for the month of May 01-31 2021"
"S318","SP","OPS","C000000011","S000000017"," "," ","","13100703","May 01-31 2021",422.919000,2,"for the month of May 01-31 2021"
"S318","SP","OPS","C000000011","S000000017"," "," ","","13100728","May 01-31 2021",758.569000,2,"for the month of May 01-31 2021"
"S318","SP","OPS","C000000011","S000000017"," "," ","","13100923","May 01-31 2021",537.040000,2,"for the month of May 01-31 2021"
"S318","SP","OPS","C000000011","S000000017"," "," ","","13100982","May 01-31 2021",221.529000,2,"for the month of May 01-31 2021"
"S318","SP","OPS","C000000011","S000000017"," "," ","","13101015","May 01-31 2021",402.780000,2,"for the month of May 01-31 2021"
"S318","SP","OPS","C000000011","S000000017"," "," ","","13101110","May 01-31 2021",557.179000,2,"for the month of May 01-31 2021"
"S318","SP","OPS","C000000011","S000000017"," "," ","","13101166","May 01-31 2021",872.690000,2,"for the month of May 01-31 2021"
"S318","SP","OPS","C000000011","S000000017"," "," ","","13100313","May 01-31 2021",5370.400000,2,"for the month of May 01-31 2021"
"S318","SP","OPS","C000000011","S000000017"," "," ","","13101150","May 01-31 2021",4766.230000,2,"for the month of May 01-31 2021"
"S318","SP","OPS","C000000011","S000000017"," "," ","","13100904","May 01-31 2021",144.329500,2,"for the month of May 01-31 2021"
"S318","SP","OPS","C000000011","S000000017"," "," ","","13101010","May 01-31 2021",144.329500,2,"for the month of May 01-31 2021"
