branch,division,dept,supplier_code,period,amount,paymentid,remarks
S321,SP,OPS,13100072,February 01-22 2016,466,2,for the month of February 01-22 2016
S321,SP,OPS,13100073,February 01-22 2016,466,2,for the month of February 01-22 2016
S321,SP,OPS,13100095,February 01-22 2016,932,2,for the month of February 01-22 2016
S321,SP,OPS,13100209,February 01-22 2016,407.75,2,for the month of February 01-22 2016
S321,SP,OPS,13100254,February 01-22 2016,699,2,for the month of February 01-22 2016
S321,SP,OPS,13100289,February 01-22 2016,932,2,for the month of February 01-22 2016
S321,SP,OPS,13100340,February 01-22 2016,2330,2,for the month of February 01-22 2016
S321,SP,OPS,13100850,February 01-22 2016,2796,2,for the month of February 01-22 2016
S321,SP,OPS,13100923,February 01-22 2016,1398,2,for the month of February 01-22 2016
S321,SP,OPS,13100940,February 01-22 2016,2796,2,for the month of February 01-22 2016
S321,SP,OPS,13101054,February 01-22 2016,932,2,for the month of February 01-22 2016
S321,SP,OPS,13101060,February 01-22 2016,932,2,for the month of February 01-22 2016
S321,SP,OPS,13200002,February 01-22 2016,5126,2,for the month of February 01-22 2016
S321,SP,OPS,13300510,February 01-22 2016,932,2,for the month of February 01-22 2016
S321,SP,OPS,13100013,February 01-22 2016,466,2,for the month of February 01-22 2016
S321,SP,OPS,13100120,February 01-22 2016,308.725,2,for the month of February 01-22 2016
S321,SP,OPS,13100138,February 01-22 2016,932,2,for the month of February 01-22 2016
S321,SP,OPS,13100229,February 01-22 2016,1124.225,2,for the month of February 01-22 2016
S321,SP,OPS,13100265,February 01-22 2016,366.975,2,for the month of February 01-22 2016
S321,SP,OPS,13100323,February 01-22 2016,1165,2,for the month of February 01-22 2016
S321,SP,OPS,13100421,February 01-22 2016,1706.725,2,for the month of February 01-22 2016
S321,SP,OPS,13100423,February 01-22 2016,366.975,2,for the month of February 01-22 2016
S321,SP,OPS,13100529,February 01-22 2016,1106.75,2,for the month of February 01-22 2016
S321,SP,OPS,13100782,February 01-22 2016,2696.975,2,for the month of February 01-22 2016
S321,SP,OPS,13100789,February 01-22 2016,774.725,2,for the month of February 01-22 2016
S321,SP,OPS,13100843,February 01-22 2016,1922.25,2,for the month of February 01-22 2016
S321,SP,OPS,13100844,February 01-22 2016,3628.975,2,for the month of February 01-22 2016
S321,SP,OPS,13100856,February 01-22 2016,582.5,2,for the month of February 01-22 2016
S321,SP,OPS,13100980,February 01-22 2016,75.725,2,for the month of February 01-22 2016
S321,SP,OPS,13300309,February 01-22 2016,1823.225,2,for the month of February 01-22 2016
S321,SP,OPS,13100204,February 01-22 2016,466,2,for the month of February 01-22 2016
S321,SP,OPS,13100407,February 01-22 2016,466,2,for the month of February 01-22 2016
S321,SP,OPS,13100436,February 01-22 2016,466,2,for the month of February 01-22 2016
S321,SP,OPS,13100731,February 01-22 2016,466,2,for the month of February 01-22 2016
S321,SP,OPS,13100925,February 01-22 2016,466,2,for the month of February 01-22 2016
S321,SP,OPS,13101078,February 01-22 2016,466,2,for the month of February 01-22 2016
S321,SP,OPS,13101079,February 01-22 2016,466,2,for the month of February 01-22 2016
S321,SP,OPS,13101081,February 01-22 2016,466,2,for the month of February 01-22 2016
S321,SP,OPS,13101061,February 01-22 2016,990.25,2,for the month of February 01-22 2016
S321,SP,OPS,13100902,February 01-22 2016,990.25,2,for the month of February 01-22 2016
S321,SP,OPS,13100993,February 01-22 2016,2704.741667,2,for the month of February 01-22 2016
S321,SP,OPS,13100399,February 01-22 2016,2704.741667,2,for the month of February 01-22 2016
S321,SP,OPS,13100994,February 01-22 2016,2704.741667,2,for the month of February 01-22 2016
S321,SP,OPS,13100015,February 01-22 2016,2330,2,for the month of February 01-22 2016
S321,SP,OPS,13100751,February 01-22 2016,2330,2,for the month of February 01-22 2016
S321,SP,OPS,13100006,February 01-22 2016,640.75,2,for the month of February 01-22 2016
S321,SP,OPS,13100913,February 01-22 2016,640.75,2,for the month of February 01-22 2016
S321,SP,OPS,13100215,February 01-22 2016,757.25,2,for the month of February 01-22 2016
S321,SP,OPS,13100412,February 01-22 2016,757.25,2,for the month of February 01-22 2016
S321,SP,OPS,13100904,February 01-22 2016,757.25,2,for the month of February 01-22 2016
S321,SP,OPS,13101077,February 01-22 2016,757.25,2,for the month of February 01-22 2016
S321,SP,OPS,13100984,February 01-22 2016,728.125,2,for the month of February 01-22 2016
S321,SP,OPS,13100983,February 01-22 2016,728.125,2,for the month of February 01-22 2016
S321,SP,OPS,13100337,February 01-22 2016,699,2,for the month of February 01-22 2016
S321,SP,OPS,13100748,February 01-22 2016,699,2,for the month of February 01-22 2016
S321,SP,OPS,13100177,February 01-22 2016,466,2,for the month of February 01-22 2016
S321,SP,OPS,13100256,February 01-22 2016,466,2,for the month of February 01-22 2016
S321,SP,OPS,13100313,February 01-22 2016,466,2,for the month of February 01-22 2016
S321,SP,OPS,13100358,February 01-22 2016,466,2,for the month of February 01-22 2016
S321,SP,OPS,13100363,February 01-22 2016,466,2,for the month of February 01-22 2016
S321,SP,OPS,13100058,February 01-22 2016,1427.125,2,for the month of February 01-22 2016
S321,SP,OPS,13100107,February 01-22 2016,1427.125,2,for the month of February 01-22 2016
S321,SP,OPS,13100380,February 01-22 2016,29.125,2,for the month of February 01-22 2016
S321,SP,OPS,13101087,February 01-22 2016,29.125,2,for the month of February 01-22 2016
S321,SP,OPS,13100042,February 01-22 2016,699,2,for the month of February 01-22 2016
S321,SP,OPS,13100141,February 01-22 2016,699,2,for the month of February 01-22 2016
S321,SP,OPS,13100968,February 01-22 2016,699,2,for the month of February 01-22 2016
S321,SP,OPS,13101009,February 01-22 2016,699,2,for the month of February 01-22 2016
S321,SP,OPS,13101068,February 01-22 2016,2563,2,for the month of February 01-22 2016
S321,SP,OPS,13101069,February 01-22 2016,2563,2,for the month of February 01-22 2016
S321,SP,OPS,13101070,February 01-22 2016,2563,2,for the month of February 01-22 2016
S321,SP,OPS,13101071,February 01-22 2016,2563,2,for the month of February 01-22 2016
,,,,,84130.475,,
