branch,division,dept,category,subcat,displaya,buyerid,itmdept,supplier_code,period,amount,paymentid,remarks
"S323","SP","OPS","C000000011","S000000017"," "," ","","13100209","August 01-31 2022",1611.120000,2,"for the month of August 01-31 2022"
"S323","SP","OPS","C000000011","S000000017"," "," ","","13100237","August 01-31 2022",4296.320000,2,"for the month of August 01-31 2022"
"S323","SP","OPS","C000000011","S000000017"," "," ","","13100308","August 01-31 2022",1611.120000,2,"for the month of August 01-31 2022"
"S323","SP","OPS","C000000011","S000000017"," "," ","","13100843","August 01-31 2022",1611.120000,2,"for the month of August 01-31 2022"
"S323","SP","OPS","C000000011","S000000017"," "," ","","13100958","August 01-31 2022",2148.160000,2,"for the month of August 01-31 2022"
"S323","SP","OPS","C000000011","S000000017"," "," ","","13101115","August 01-31 2022",4296.320000,2,"for the month of August 01-31 2022"
"S323","SP","OPS","C000000011","S000000017"," "," ","","13101166","August 01-31 2022",4296.320000,2,"for the month of August 01-31 2022"
"S323","SP","OPS","C000000011","S000000017"," "," ","","13101245","August 01-31 2022",3222.240000,2,"for the month of August 01-31 2022"
"S323","SP","OPS","C000000011","S000000017"," "," ","","13300309","August 01-31 2022",1611.120000,2,"for the month of August 01-31 2022"
"S323","SP","OPS","C000000011","S000000017"," "," ","","13100006","August 01-31 2022",221.529000,2,"for the month of August 01-31 2022"
"S323","SP","OPS","C000000011","S000000017"," "," ","","13100046","August 01-31 2022",1543.990000,2,"for the month of August 01-31 2022"
"S323","SP","OPS","C000000011","S000000017"," "," ","","13100112","August 01-31 2022",1476.860000,2,"for the month of August 01-31 2022"
"S323","SP","OPS","C000000011","S000000017"," "," ","","13100235","August 01-31 2022",1228.479000,2,"for the month of August 01-31 2022"
"S323","SP","OPS","C000000011","S000000017"," "," ","","13100289","August 01-31 2022",1496.999000,2,"for the month of August 01-31 2022"
"S323","SP","OPS","C000000011","S000000017"," "," ","","13100370","August 01-31 2022",1409.730000,2,"for the month of August 01-31 2022"
"S323","SP","OPS","C000000011","S000000017"," "," ","","13101072","August 01-31 2022",201.390000,2,"for the month of August 01-31 2022"
"S323","SP","OPS","C000000011","S000000017"," "," ","","13101209","August 01-31 2022",1543.990000,2,"for the month of August 01-31 2022"
"S323","SP","OPS","C000000011","S000000017"," "," ","","13101213","August 01-31 2022",691.439000,2,"for the month of August 01-31 2022"
"S323","SP","OPS","C000000011","S000000017"," "," ","","13200002","August 01-31 2022",268.520000,2,"for the month of August 01-31 2022"
"S323","SP","OPS","C000000011","S000000017"," "," ","","13100313","August 01-31 2022",2416.680000,2,"for the month of August 01-31 2022"
"S323","SP","OPS","C000000011","S000000017"," "," ","","13100844","August 01-31 2022",402.780000,2,"for the month of August 01-31 2022"
