branch,division,dept,category,subcat,displaya,buyerid,itmdept,supplier_code,period,amount,paymentid,remarks
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100308","September 01-30 2020",2796.000000,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100323","September 01-30 2020",932.000000,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100923","September 01-30 2020",1398.000000,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100940","September 01-30 2020",932.000000,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13101107","September 01-30 2020",932.000000,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13300143","September 01-30 2020",1398.000000,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13300510","September 01-30 2020",932.000000,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100006","September 01-30 2020",1689.250000,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100008","September 01-30 2020",233.000000,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100114","September 01-30 2020",425.225000,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100181","September 01-30 2020",1106.750000,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100265","September 01-30 2020",1997.975000,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100696","September 01-30 2020",1864.000000,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100789","September 01-30 2020",1706.725000,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100843","September 01-30 2020",949.475000,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100844","September 01-30 2020",3669.750000,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13101069","September 01-30 2020",2155.250000,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13101115","September 01-30 2020",832.975000,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13101188","September 01-30 2020",17.475000,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100046","September 01-30 2020",1357.225000,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100421","September 01-30 2020",1823.225000,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100095","September 01-30 2020",135.916667,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13101104","September 01-30 2020",135.916667,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100237","September 01-30 2020",135.916667,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100405","September 01-30 2020",291.250000,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100702","September 01-30 2020",291.250000,2,"for the month of September 01-30 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100861","September 01-30 2020",291.250000,2,"for the month of September 01-30 2020"
