branch,division,dept,category,subcat,displaya,buyerid,supplier_code,period,amount,paymentid,remarks
"S325","SP","OPS","C000000011","S000000017"," "," ","13100068","August 01-31 2016",2796.000000,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100072","August 01-31 2016",757.250000,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100073","August 01-31 2016",349.500000,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100190","August 01-31 2016",1398.000000,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100209","August 01-31 2016",1165.000000,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100237","August 01-31 2016",932.000000,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100337","August 01-31 2016",932.000000,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100366","August 01-31 2016",1398.000000,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100748","August 01-31 2016",699.000000,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100856","August 01-31 2016",4310.500000,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100940","August 01-31 2016",2796.000000,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13101001","August 01-31 2016",233.000000,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13101098","August 01-31 2016",932.000000,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100880","August 01-31 2016",291.250000,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100980","August 01-31 2016",2563.000000,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100204","August 01-31 2016",245.620833,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100407","August 01-31 2016",245.620833,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100731","August 01-31 2016",245.620833,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13101078","August 01-31 2016",245.620833,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13101081","August 01-31 2016",245.620833,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13101096","August 01-31 2016",245.620833,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100993","August 01-31 2016",582.500000,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100399","August 01-31 2016",582.500000,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100994","August 01-31 2016",582.500000,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13101015","August 01-31 2016",466.000000,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13101033","August 01-31 2016",466.000000,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100380","August 01-31 2016",1708.666667,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13101087","August 01-31 2016",1708.666667,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13101102","August 01-31 2016",1708.666667,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100702","August 01-31 2016",466.000000,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100861","August 01-31 2016",466.000000,2,"for the month of August 01-31 2016"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100405","August 01-31 2016",466.000000,2,"for the month of August 01-31 2016"
