branch,division,dept,category,subcat,displaya,buyerid,itmdept,supplier_code,period,amount,paymentid,remarks
"S326","SP","OPS","C000000011","S000000017"," "," ","","13100006","July 01-31 2021",6444.480000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13100073","July 01-31 2021",1074.080000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13100204","July 01-31 2021",1208.340000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13100308","July 01-31 2021",3222.240000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13100323","July 01-31 2021",1074.080000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13100412","July 01-31 2021",1074.080000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13100919","July 01-31 2021",1074.080000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13100923","July 01-31 2021",1611.120000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13300143","July 01-31 2021",1074.080000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13300510","July 01-31 2021",1074.080000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13100008","July 01-31 2021",268.520000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13100167","July 01-31 2021",335.650000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13100235","July 01-31 2021",5457.669000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13100254","July 01-31 2021",67.130000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13100289","July 01-31 2021",2503.949000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13100315","July 01-31 2021",134.260000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13100399","July 01-31 2021",604.170000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13100418","July 01-31 2021",2081.030000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13100800","July 01-31 2021",805.560000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13100850","July 01-31 2021",2685.200000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13101043","July 01-31 2021",1543.990000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13101110","July 01-31 2021",3759.280000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13101166","July 01-31 2021",1564.129000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13101188","July 01-31 2021",20.139000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13200002","July 01-31 2021",8525.510000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13300181","July 01-31 2021",959.959000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13101072","July 01-31 2021",4115.069000,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13100702","July 01-31 2021",223.766667,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13100861","July 01-31 2021",223.766667,2,"for the month of July 01-31 2021"
"S326","SP","OPS","C000000011","S000000017"," "," ","","13100405","July 01-31 2021",223.766667,2,"for the month of July 01-31 2021"
