branch,division,dept,category,subcat,displaya,buyerid,itmdept,supplier_code,period,amount,paymentid,remarks
S329,SP,OPS,C000000011,S000000017, , ,,13100104,February 01-28 2021,1611.12,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100107,February 01-28 2021,6444.48,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100181,February 01-28 2021,6444.48,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100292,February 01-28 2021,1611.12,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100308,February 01-28 2021,3222.24,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100536,February 01-28 2021,1611.12,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13101210,February 01-28 2021,1611.12,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13300309,February 01-28 2021,1611.12,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100006,February 01-28 2021,1074.08,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100046,February 01-28 2021,2953.72,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100112,February 01-28 2021,872.69,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100138,February 01-28 2021,1027.089,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100265,February 01-28 2021,2705.339,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100340,February 01-28 2021,87.269,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100399,February 01-28 2021,892.829,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100421,February 01-28 2021,959.959,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100703,February 01-28 2021,1899.779,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100728,February 01-28 2021,1342.6,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100789,February 01-28 2021,3443.769,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100918,February 01-28 2021,2550.94,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100940,February 01-28 2021,221.529,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13101043,February 01-28 2021,3087.98,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13101069,February 01-28 2021,2416.68,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13101208,February 01-28 2021,805.56,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13101209,February 01-28 2021,422.919,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100114,February 01-28 2021,4517.849,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100254,February 01-28 2021,469.91,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100418,February 01-28 2021,2436.819,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100095,February 01-28 2021,678.013,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13101104,February 01-28 2021,678.013,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100237,February 01-28 2021,678.013,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100702,February 01-28 2021,1074.08,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100861,February 01-28 2021,1074.08,2,for the month of February 01-28 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100405,February 01-28 2021,1074.08,2,for the month of February 01-28 2021
