branch,division,dept,category,subcat,displaya,buyerid,itmdept,supplier_code,period,amount,paymentid,remarks
S329,SP,OPS,C000000011,S000000017, , ,,13100104,May 01-31 2021,1611.12,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100107,May 01-31 2021,6444.48,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100308,May 01-31 2021,3222.24,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100323,May 01-31 2021,1074.08,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100536,May 01-31 2021,1611.12,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13101210,May 01-31 2021,1611.12,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13300309,May 01-31 2021,1611.12,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100006,May 01-31 2021,1094.219,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100046,May 01-31 2021,691.439,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100112,May 01-31 2021,402.78,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100138,May 01-31 2021,1161.349,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100181,May 01-31 2021,1496.999,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100229,May 01-31 2021,20.139,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100421,May 01-31 2021,1094.219,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100703,May 01-31 2021,1611.12,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100728,May 01-31 2021,402.78,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100918,May 01-31 2021,624.309,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13101043,May 01-31 2021,872.69,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13101069,May 01-31 2021,1295.609,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13101191,May 01-31 2021,20.139,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13101209,May 01-31 2021,2839.599,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100095,May 01-31 2021,358.026667,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13101104,May 01-31 2021,358.026667,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100237,May 01-31 2021,358.026667,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100702,May 01-31 2021,51.466333,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100861,May 01-31 2021,51.466333,2,for the month of May 01-31 2021
S329,SP,OPS,C000000011,S000000017, , ,,13100405,May 01-31 2021,51.466333,2,for the month of May 01-31 2021
