branch,division,dept,category,subcat,displaya,buyerid,itmdept,supplier_code,period,amount,paymentid,remarks
S329,SP,OPS,C000000011,S000000017, , ,,13100308,April 01-30 2022,1611.12,2,for the month of April 01-30 2022
S329,SP,OPS,C000000011,S000000017, , ,,13100323,April 01-30 2022,1074.08,2,for the month of April 01-30 2022
S329,SP,OPS,C000000011,S000000017, , ,,13101208,April 01-30 2022,1074.08,2,for the month of April 01-30 2022
S329,SP,OPS,C000000011,S000000017, , ,,13300051,April 01-30 2022,1611.12,2,for the month of April 01-30 2022
S329,SP,OPS,C000000011,S000000017, , ,,13100046,April 01-30 2022,201.39,2,for the month of April 01-30 2022
S329,SP,OPS,C000000011,S000000017, , ,,13100104,April 01-30 2022,805.56,2,for the month of April 01-30 2022
S329,SP,OPS,C000000011,S000000017, , ,,13100138,April 01-30 2022,490.049,2,for the month of April 01-30 2022
S329,SP,OPS,C000000011,S000000017, , ,,13100181,April 01-30 2022,557.179,2,for the month of April 01-30 2022
S329,SP,OPS,C000000011,S000000017, , ,,13100204,April 01-30 2022,355.789,2,for the month of April 01-30 2022
S329,SP,OPS,C000000011,S000000017, , ,,13100237,April 01-30 2022,758.569,2,for the month of April 01-30 2022
S329,SP,OPS,C000000011,S000000017, , ,,13100289,April 01-30 2022,604.17,2,for the month of April 01-30 2022
S329,SP,OPS,C000000011,S000000017, , ,,13100421,April 01-30 2022,892.829,2,for the month of April 01-30 2022
S329,SP,OPS,C000000011,S000000017, , ,,13100703,April 01-30 2022,1611.12,2,for the month of April 01-30 2022
S329,SP,OPS,C000000011,S000000017, , ,,13100940,April 01-30 2022,221.529,2,for the month of April 01-30 2022
S329,SP,OPS,C000000011,S000000017, , ,,13101043,April 01-30 2022,154.399,2,for the month of April 01-30 2022
S329,SP,OPS,C000000011,S000000017, , ,,13101072,April 01-30 2022,5370.4,2,for the month of April 01-30 2022
S329,SP,OPS,C000000011,S000000017, , ,,13101095,April 01-30 2022,1074.08,2,for the month of April 01-30 2022
S329,SP,OPS,C000000011,S000000017, , ,,13101118,April 01-30 2022,758.569,2,for the month of April 01-30 2022
S329,SP,OPS,C000000011,S000000017, , ,,13101188,April 01-30 2022,2973.859,2,for the month of April 01-30 2022
S329,SP,OPS,C000000011,S000000017, , ,,13101213,April 01-30 2022,624.309,2,for the month of April 01-30 2022
S329,SP,OPS,C000000011,S000000017, , ,,13300309,April 01-30 2022,490.049,2,for the month of April 01-30 2022
S329,SP,OPS,C000000011,S000000017, , ,,13100315,April 01-30 2022,2081.03,2,for the month of April 01-30 2022
S329,SP,OPS,C000000011,S000000017, , ,,13100702,April 01-30 2022,962.196667,2,for the month of April 01-30 2022
S329,SP,OPS,C000000011,S000000017, , ,,13100861,April 01-30 2022,962.196667,2,for the month of April 01-30 2022
S329,SP,OPS,C000000011,S000000017, , ,,13100405,April 01-30 2022,962.196667,2,for the month of April 01-30 2022
