branch,division,dept,category,subcat,displaya,buyerid,itmdept,supplier_code,period,amount,paymentid,remarks
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100104","November 01-30 2021",1611.120000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100113","November 01-30 2021",1611.120000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100204","November 01-30 2021",2148.160000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100235","November 01-30 2021",9666.720000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100308","November 01-30 2021",805.560000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100323","November 01-30 2021",1611.120000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100366","November 01-30 2021",1611.120000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13101166","November 01-30 2021",3222.240000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13300143","November 01-30 2021",1074.080000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100015","November 01-30 2021",4047.939000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100046","November 01-30 2021",537.040000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100265","November 01-30 2021",1476.860000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100289","November 01-30 2021",2235.429000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100340","November 01-30 2021",2034.039000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100399","November 01-30 2021",335.650000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100418","November 01-30 2021",3376.639000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100421","November 01-30 2021",2148.160000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100696","November 01-30 2021",1342.600000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100728","November 01-30 2021",87.269000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100789","November 01-30 2021",872.690000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100843","November 01-30 2021",221.529000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100844","November 01-30 2021",67.130000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100850","November 01-30 2021",872.690000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13101069","November 01-30 2021",624.309000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13101095","November 01-30 2021",87.269000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13101115","November 01-30 2021",1094.219000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13101188","November 01-30 2021",2685.200000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13101209","November 01-30 2021",624.309000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13101213","November 01-30 2021",6128.969000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100114","November 01-30 2021",1543.990000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100095","November 01-30 2021",693.676667,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100237","November 01-30 2021",693.676667,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13101104","November 01-30 2021",693.676667,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13101110","November 01-30 2021",637.735000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100923","November 01-30 2021",637.735000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100068","November 01-30 2021",805.560000,2,"for the month of November 01-30 2021"
"S330","SP","OPS","C000000011","S000000017"," "," ","","13100232","November 01-30 2021",805.560000,2,"for the month of November 01-30 2021"
