branch,division,dept,category,subcat,displaya,buyerid,supplier_code,period,amount,paymentid,remarks
S332,SP,OPS,C000000011,S000000017, , ,13100195,October 01-31 2016,233,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13100254,October 01-31 2016,1864,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13100703,October 01-31 2016,466,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13100923,October 01-31 2016,1398,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13100940,October 01-31 2016,1398,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13101060,October 01-31 2016,932,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13101072,October 01-31 2016,5592,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13100265,October 01-31 2016,116.5,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13100340,October 01-31 2016,75.725,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13100981,October 01-31 2016,815.5,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13101069,October 01-31 2016,17.475,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13200002,October 01-31 2016,2796,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13101000,October 01-31 2016,125.2375,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13100732,October 01-31 2016,125.2375,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13100902,October 01-31 2016,58.25,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13101061,October 01-31 2016,58.25,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13100292,October 01-31 2016,1398,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13300251,October 01-31 2016,1398,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13100015,October 01-31 2016,474.7375,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13100751,October 01-31 2016,474.7375,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13101015,October 01-31 2016,1398,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13101033,October 01-31 2016,1398,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13100107,October 01-31 2016,1019.375,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13100058,October 01-31 2016,1019.375,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13100380,October 01-31 2016,1087.333333,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13101087,October 01-31 2016,1087.333333,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13101102,October 01-31 2016,1087.333333,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13100042,October 01-31 2016,699,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13100141,October 01-31 2016,699,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13100968,October 01-31 2016,699,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13101009,October 01-31 2016,699,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13101095,October 01-31 2016,699,2,for the month of October 01-31 2016
S332,SP,OPS,C000000011,S000000017, , ,13101101,October 01-31 2016,699,2,for the month of October 01-31 2016
