branch,division,dept,category,subcat,displaya,buyerid,itmdept,supplier_code,period,amount,paymentid,remarks
"S332","SP","OPS","C000000011","S000000017"," "," ","","13100235","October 01-31 2020",1398.000000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13100308","October 01-31 2020",2796.000000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13100323","October 01-31 2020",932.000000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13100703","October 01-31 2020",1398.000000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13100850","October 01-31 2020",5592.000000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13100923","October 01-31 2020",1398.000000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13101033","October 01-31 2020",932.000000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13101095","October 01-31 2020",5592.000000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13101191","October 01-31 2020",2796.000000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13100015","October 01-31 2020",1590.225000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13100046","October 01-31 2020",2056.225000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13100107","October 01-31 2020",2330.000000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13100120","October 01-31 2020",2796.000000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13100181","October 01-31 2020",524.250000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13100313","October 01-31 2020",233.000000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13100340","October 01-31 2020",1007.725000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13100418","October 01-31 2020",407.750000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13100696","October 01-31 2020",366.975000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13100843","October 01-31 2020",2289.225000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13100983","October 01-31 2020",2330.000000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13101069","October 01-31 2020",174.750000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13101072","October 01-31 2020",233.000000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13101111","October 01-31 2020",233.000000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13101115","October 01-31 2020",133.975000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13101118","October 01-31 2020",192.225000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13101150","October 01-31 2020",466.000000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13300143","October 01-31 2020",1165.000000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13100728","October 01-31 2020",599.975000,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13100095","October 01-31 2020",44.658333,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13100237","October 01-31 2020",44.658333,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13101104","October 01-31 2020",44.658333,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13100702","October 01-31 2020",219.408333,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13100861","October 01-31 2020",219.408333,2,"for the month of October 01-31 2020"
"S332","SP","OPS","C000000011","S000000017"," "," ","","13100405","October 01-31 2020",219.408333,2,"for the month of October 01-31 2020"
