branch,division,dept,category,subcat,displaya,buyerid,itmdept,supplier_code,period,amount,paymentid,remarks
"S336","SP","OPS","C000000011","S000000017"," "," ","","13100308","October 01-31 2020",2796.000000,2,"for the month of October 01-31 2020"
"S336","SP","OPS","C000000011","S000000017"," "," ","","13100399","October 01-31 2020",2796.000000,2,"for the month of October 01-31 2020"
"S336","SP","OPS","C000000011","S000000017"," "," ","","13100421","October 01-31 2020",2796.000000,2,"for the month of October 01-31 2020"
"S336","SP","OPS","C000000011","S000000017"," "," ","","13100923","October 01-31 2020",1398.000000,2,"for the month of October 01-31 2020"
"S336","SP","OPS","C000000011","S000000017"," "," ","","13101033","October 01-31 2020",932.000000,2,"for the month of October 01-31 2020"
"S336","SP","OPS","C000000011","S000000017"," "," ","","13100015","October 01-31 2020",599.975000,2,"for the month of October 01-31 2020"
"S336","SP","OPS","C000000011","S000000017"," "," ","","13100046","October 01-31 2020",133.975000,2,"for the month of October 01-31 2020"
"S336","SP","OPS","C000000011","S000000017"," "," ","","13100265","October 01-31 2020",466.000000,2,"for the month of October 01-31 2020"
"S336","SP","OPS","C000000011","S000000017"," "," ","","13100315","October 01-31 2020",3162.975000,2,"for the month of October 01-31 2020"
"S336","SP","OPS","C000000011","S000000017"," "," ","","13100696","October 01-31 2020",599.975000,2,"for the month of October 01-31 2020"
"S336","SP","OPS","C000000011","S000000017"," "," ","","13100789","October 01-31 2020",599.975000,2,"for the month of October 01-31 2020"
"S336","SP","OPS","C000000011","S000000017"," "," ","","13100843","October 01-31 2020",815.500000,2,"for the month of October 01-31 2020"
"S336","SP","OPS","C000000011","S000000017"," "," ","","13100850","October 01-31 2020",524.250000,2,"for the month of October 01-31 2020"
"S336","SP","OPS","C000000011","S000000017"," "," ","","13200002","October 01-31 2020",17.475000,2,"for the month of October 01-31 2020"
"S336","SP","OPS","C000000011","S000000017"," "," ","","13300143","October 01-31 2020",1165.000000,2,"for the month of October 01-31 2020"
"S336","SP","OPS","C000000011","S000000017"," "," ","","13100844","October 01-31 2020",2097.000000,2,"for the month of October 01-31 2020"
"S336","SP","OPS","C000000011","S000000017"," "," ","","13100095","October 01-31 2020",44.658333,2,"for the month of October 01-31 2020"
"S336","SP","OPS","C000000011","S000000017"," "," ","","13100237","October 01-31 2020",44.658333,2,"for the month of October 01-31 2020"
"S336","SP","OPS","C000000011","S000000017"," "," ","","13101104","October 01-31 2020",44.658333,2,"for the month of October 01-31 2020"
