branch,division,dept,category,subcat,displaya,buyerid,itmdept,supplier_code,period,amount,paymentid,remarks
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100240","October 01-31 2019",582.500000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100308","October 01-31 2019",2796.000000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100323","October 01-31 2019",932.000000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100728","October 01-31 2019",1398.000000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100800","October 01-31 2019",932.000000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100843","October 01-31 2019",5592.000000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100919","October 01-31 2019",932.000000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13101111","October 01-31 2019",932.000000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13101125","October 01-31 2019",932.000000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13300510","October 01-31 2019",932.000000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100006","October 01-31 2019",2114.475000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100008","October 01-31 2019",640.750000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100015","October 01-31 2019",133.975000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100107","October 01-31 2019",1415.475000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100114","October 01-31 2019",2405.725000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100120","October 01-31 2019",2038.750000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100138","October 01-31 2019",407.750000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100167","October 01-31 2019",716.475000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100204","October 01-31 2019",75.725000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100254","October 01-31 2019",1357.225000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100265","October 01-31 2019",3046.475000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100340","October 01-31 2019",407.750000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100412","October 01-31 2019",174.750000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100418","October 01-31 2019",2330.000000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100696","October 01-31 2019",873.750000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100782","October 01-31 2019",932.000000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100850","October 01-31 2019",599.975000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100923","October 01-31 2019",17.475000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100940","October 01-31 2019",699.000000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13101087","October 01-31 2019",2929.975000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13101095","October 01-31 2019",308.725000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13101163","October 01-31 2019",757.250000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13101166","October 01-31 2019",524.250000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13200002","October 01-31 2019",1240.725000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13300181","October 01-31 2019",407.750000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100013","October 01-31 2019",1223.250000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100399","October 01-31 2019",1357.225000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100703","October 01-31 2019",1065.975000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100982","October 01-31 2019",483.475000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100983","October 01-31 2019",815.500000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13101033","October 01-31 2019",192.225000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13101115","October 01-31 2019",2580.475000,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13100978","October 01-31 2019",1290.237500,2,"for the month of October 01-31 2019"
"S343","SP","OPS","C000000011","S000000017"," "," ","","13101152","October 01-31 2019",1290.237500,2,"for the month of October 01-31 2019"
