branch,division,dept,category,subcat,displaya,buyerid,itmdept,supplier_code,period,amount,paymentid,remarks
S346,SP,OPS,C000000011,S000000017, , ,,13100107,November 01-30 2021,3222.24,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13100308,November 01-30 2021,805.56,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13100323,November 01-30 2021,1074.08,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13100418,November 01-30 2021,3222.24,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13100703,November 01-30 2021,1611.12,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13101118,November 01-30 2021,1074.08,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13101166,November 01-30 2021,3222.24,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13101208,November 01-30 2021,1074.08,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13200002,November 01-30 2021,1611.12,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13300051,November 01-30 2021,1611.12,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13100006,November 01-30 2021,1812.51,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13100015,November 01-30 2021,2483.81,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13100046,November 01-30 2021,154.399,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13100204,November 01-30 2021,892.829,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13100289,November 01-30 2021,1611.12,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13100399,November 01-30 2021,3443.769,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13100843,November 01-30 2021,288.659,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13100844,November 01-30 2021,1228.479,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13101095,November 01-30 2021,154.399,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13101115,November 01-30 2021,20.139,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13101188,November 01-30 2021,2369.689,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13101209,November 01-30 2021,4786.369,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13100095,November 01-30 2021,387.116333,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13100237,November 01-30 2021,387.116333,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13101104,November 01-30 2021,387.116333,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13100923,November 01-30 2021,637.735,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13101110,November 01-30 2021,637.735,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13100232,November 01-30 2021,805.56,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13100068,November 01-30 2021,805.56,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13100904,November 01-30 2021,379.2845,2,for the month of November 01-30 2021
S346,SP,OPS,C000000011,S000000017, , ,,13101010,November 01-30 2021,379.2845,2,for the month of November 01-30 2021
