branch,division,dept,category,subcat,displaya,buyerid,supplier_code,period,amount,paymentid,remarks
S351,SP,OPS,C000000011,S000000017, , ,13100095,July 01-31 2016,932,2,for the month of July 01-31 2016
S351,SP,OPS,C000000011,S000000017, , ,13100191,July 01-31 2016,1398,2,for the month of July 01-31 2016
S351,SP,OPS,C000000011,S000000017, , ,13100240,July 01-31 2016,2796,2,for the month of July 01-31 2016
S351,SP,OPS,C000000011,S000000017, , ,13100748,July 01-31 2016,699,2,for the month of July 01-31 2016
S351,SP,OPS,C000000011,S000000017, , ,13100789,July 01-31 2016,5592,2,for the month of July 01-31 2016
S351,SP,OPS,C000000011,S000000017, , ,13100204,July 01-31 2016,854.333333,2,for the month of July 01-31 2016
S351,SP,OPS,C000000011,S000000017, , ,13100407,July 01-31 2016,854.333333,2,for the month of July 01-31 2016
S351,SP,OPS,C000000011,S000000017, , ,13100731,July 01-31 2016,854.333333,2,for the month of July 01-31 2016
S351,SP,OPS,C000000011,S000000017, , ,13101078,July 01-31 2016,854.333333,2,for the month of July 01-31 2016
S351,SP,OPS,C000000011,S000000017, , ,13101081,July 01-31 2016,854.333333,2,for the month of July 01-31 2016
S351,SP,OPS,C000000011,S000000017, , ,13101096,July 01-31 2016,854.333333,2,for the month of July 01-31 2016
S351,SP,OPS,C000000011,S000000017, , ,13101015,July 01-31 2016,1398,2,for the month of July 01-31 2016
S351,SP,OPS,C000000011,S000000017, , ,13101033,July 01-31 2016,1398,2,for the month of July 01-31 2016
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,19339,,
