branch,division,dept,category,subcat,displaya,buyerid,itmdept,supplier_code,period,amount,paymentid,remarks
"S352","SP","OPS","C000000011","S000000017"," "," ","","13100006","November 01-30 2021",3222.240000,2,"for the month of November 01-30 2021"
"S352","SP","OPS","C000000011","S000000017"," "," ","","13100292","November 01-30 2021",1611.120000,2,"for the month of November 01-30 2021"
"S352","SP","OPS","C000000011","S000000017"," "," ","","13100308","November 01-30 2021",1611.120000,2,"for the month of November 01-30 2021"
"S352","SP","OPS","C000000011","S000000017"," "," ","","13100235","November 01-30 2021",335.650000,2,"for the month of November 01-30 2021"
"S352","SP","OPS","C000000011","S000000017"," "," ","","13100313","November 01-30 2021",469.910000,2,"for the month of November 01-30 2021"
"S352","SP","OPS","C000000011","S000000017"," "," ","","13100399","November 01-30 2021",67.130000,2,"for the month of November 01-30 2021"
"S352","SP","OPS","C000000011","S000000017"," "," ","","13100418","November 01-30 2021",4249.329000,2,"for the month of November 01-30 2021"
"S352","SP","OPS","C000000011","S000000017"," "," ","","13100421","November 01-30 2021",959.959000,2,"for the month of November 01-30 2021"
"S352","SP","OPS","C000000011","S000000017"," "," ","","13100696","November 01-30 2021",1161.349000,2,"for the month of November 01-30 2021"
"S352","SP","OPS","C000000011","S000000017"," "," ","","13100728","November 01-30 2021",892.829000,2,"for the month of November 01-30 2021"
"S352","SP","OPS","C000000011","S000000017"," "," ","","13100850","November 01-30 2021",288.659000,2,"for the month of November 01-30 2021"
"S352","SP","OPS","C000000011","S000000017"," "," ","","13100958","November 01-30 2021",87.269000,2,"for the month of November 01-30 2021"
"S352","SP","OPS","C000000011","S000000017"," "," ","","13101069","November 01-30 2021",738.430000,2,"for the month of November 01-30 2021"
"S352","SP","OPS","C000000011","S000000017"," "," ","","13101115","November 01-30 2021",335.650000,2,"for the month of November 01-30 2021"
"S352","SP","OPS","C000000011","S000000017"," "," ","","13101118","November 01-30 2021",201.390000,2,"for the month of November 01-30 2021"
"S352","SP","OPS","C000000011","S000000017"," "," ","","13101188","November 01-30 2021",355.789000,2,"for the month of November 01-30 2021"
"S352","SP","OPS","C000000011","S000000017"," "," ","","13101209","November 01-30 2021",1476.860000,2,"for the month of November 01-30 2021"
"S352","SP","OPS","C000000011","S000000017"," "," ","","13101213","November 01-30 2021",20.139000,2,"for the month of November 01-30 2021"
"S352","SP","OPS","C000000011","S000000017"," "," ","","13300051","November 01-30 2021",201.390000,2,"for the month of November 01-30 2021"
"S352","SP","OPS","C000000011","S000000017"," "," ","","13100120","November 01-30 2021",1094.219000,2,"for the month of November 01-30 2021"
"S352","SP","OPS","C000000011","S000000017"," "," ","","13100095","November 01-30 2021",67.130000,2,"for the month of November 01-30 2021"
"S352","SP","OPS","C000000011","S000000017"," "," ","","13100237","November 01-30 2021",67.130000,2,"for the month of November 01-30 2021"
"S352","SP","OPS","C000000011","S000000017"," "," ","","13101104","November 01-30 2021",67.130000,2,"for the month of November 01-30 2021"
"S352","SP","OPS","C000000011","S000000017"," "," ","","13100068","November 01-30 2021",805.560000,2,"for the month of November 01-30 2021"
"S352","SP","OPS","C000000011","S000000017"," "," ","","13100232","November 01-30 2021",805.560000,2,"for the month of November 01-30 2021"
