branch,division,dept,category,subcat,displaya,buyerid,itmdept,supplier_code,period,amount,paymentid,remarks
"S354","SP","OPS","C000000011","S000000017"," "," ","","13100104","April 01-30 2021",1611.120000,2,"for the month of April 01-30 2021"
"S354","SP","OPS","C000000011","S000000017"," "," ","","13100204","April 01-30 2021",1611.120000,2,"for the month of April 01-30 2021"
"S354","SP","OPS","C000000011","S000000017"," "," ","","13100235","April 01-30 2021",4833.360000,2,"for the month of April 01-30 2021"
"S354","SP","OPS","C000000011","S000000017"," "," ","","13100308","April 01-30 2021",3222.240000,2,"for the month of April 01-30 2021"
"S354","SP","OPS","C000000011","S000000017"," "," ","","13100370","April 01-30 2021",1611.120000,2,"for the month of April 01-30 2021"
"S354","SP","OPS","C000000011","S000000017"," "," ","","13100412","April 01-30 2021",1611.120000,2,"for the month of April 01-30 2021"
"S354","SP","OPS","C000000011","S000000017"," "," ","","13101210","April 01-30 2021",2148.160000,2,"for the month of April 01-30 2021"
"S354","SP","OPS","C000000011","S000000017"," "," ","","13100006","April 01-30 2021",624.309000,2,"for the month of April 01-30 2021"
"S354","SP","OPS","C000000011","S000000017"," "," ","","13100015","April 01-30 2021",20.139000,2,"for the month of April 01-30 2021"
"S354","SP","OPS","C000000011","S000000017"," "," ","","13100112","April 01-30 2021",134.260000,2,"for the month of April 01-30 2021"
"S354","SP","OPS","C000000011","S000000017"," "," ","","13100167","April 01-30 2021",1812.510000,2,"for the month of April 01-30 2021"
"S354","SP","OPS","C000000011","S000000017"," "," ","","13100265","April 01-30 2021",1228.479000,2,"for the month of April 01-30 2021"
"S354","SP","OPS","C000000011","S000000017"," "," ","","13100399","April 01-30 2021",1496.999000,2,"for the month of April 01-30 2021"
"S354","SP","OPS","C000000011","S000000017"," "," ","","13100728","April 01-30 2021",87.269000,2,"for the month of April 01-30 2021"
"S354","SP","OPS","C000000011","S000000017"," "," ","","13100850","April 01-30 2021",3376.639000,2,"for the month of April 01-30 2021"
"S354","SP","OPS","C000000011","S000000017"," "," ","","13101069","April 01-30 2021",490.049000,2,"for the month of April 01-30 2021"
"S354","SP","OPS","C000000011","S000000017"," "," ","","13101072","April 01-30 2021",221.529000,2,"for the month of April 01-30 2021"
"S354","SP","OPS","C000000011","S000000017"," "," ","","13101110","April 01-30 2021",154.399000,2,"for the month of April 01-30 2021"
"S354","SP","OPS","C000000011","S000000017"," "," ","","13101188","April 01-30 2021",134.260000,2,"for the month of April 01-30 2021"
"S354","SP","OPS","C000000011","S000000017"," "," ","","13300309","April 01-30 2021",1208.340000,2,"for the month of April 01-30 2021"
"S354","SP","OPS","C000000011","S000000017"," "," ","","13100046","April 01-30 2021",1564.129000,2,"for the month of April 01-30 2021"
"S354","SP","OPS","C000000011","S000000017"," "," ","","13100418","April 01-30 2021",335.650000,2,"for the month of April 01-30 2021"
