branch,division,dept,category,subcat,displaya,buyerid,itmdept,supplier_code,period,amount,paymentid,remarks
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100104","November 01-30 2021",1611.120000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100235","November 01-30 2021",4833.360000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100308","November 01-30 2021",805.560000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100323","November 01-30 2021",1611.120000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13101147","November 01-30 2021",1074.080000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13300051","November 01-30 2021",1611.120000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13300143","November 01-30 2021",1074.080000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100006","November 01-30 2021",892.829000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100046","November 01-30 2021",1027.089000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100114","November 01-30 2021",490.049000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100254","November 01-30 2021",805.560000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100289","November 01-30 2021",738.430000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100313","November 01-30 2021",758.569000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100315","November 01-30 2021",67.130000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100418","November 01-30 2021",1141.210000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100421","November 01-30 2021",154.399000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100703","November 01-30 2021",469.910000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100728","November 01-30 2021",87.269000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100843","November 01-30 2021",805.560000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100850","November 01-30 2021",2618.070000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13101095","November 01-30 2021",221.529000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13101118","November 01-30 2021",872.690000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13101188","November 01-30 2021",959.959000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13101208","November 01-30 2021",268.520000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13101209","November 01-30 2021",2772.469000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100923","November 01-30 2021",144.329500,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13101110","November 01-30 2021",144.329500,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100232","November 01-30 2021",805.560000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100068","November 01-30 2021",805.560000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100904","November 01-30 2021",782.064500,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13101010","November 01-30 2021",782.064500,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100702","November 01-30 2021",3117.069667,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100861","November 01-30 2021",3117.069667,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100405","November 01-30 2021",3117.069667,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100667","November 01-30 2021",234.955000,2,"for the month of November 01-30 2021"
"S356","SP","OPS","C000000011","S000000017"," "," ","","13100252","November 01-30 2021",234.955000,2,"for the month of November 01-30 2021"
