branch,division,dept,category,subcat,displaya,buyerid,itmdept,supplier_code,period,amount,paymentid,remarks
S357,SP,OPS,C000000011,S000000017, , ,,13100204,June 01-30 2021,1208.34,2,for the month of June 01-30 2021
S357,SP,OPS,C000000011,S000000017, , ,,13100235,June 01-30 2021,4833.36,2,for the month of June 01-30 2021
S357,SP,OPS,C000000011,S000000017, , ,,13100308,June 01-30 2021,3222.24,2,for the month of June 01-30 2021
S357,SP,OPS,C000000011,S000000017, , ,,13100323,June 01-30 2021,1611.12,2,for the month of June 01-30 2021
S357,SP,OPS,C000000011,S000000017, , ,,13300051,June 01-30 2021,1611.12,2,for the month of June 01-30 2021
S357,SP,OPS,C000000011,S000000017, , ,,13300510,June 01-30 2021,1074.08,2,for the month of June 01-30 2021
S357,SP,OPS,C000000011,S000000017, , ,,13100006,June 01-30 2021,1476.86,2,for the month of June 01-30 2021
S357,SP,OPS,C000000011,S000000017, , ,,13100107,June 01-30 2021,671.3,2,for the month of June 01-30 2021
S357,SP,OPS,C000000011,S000000017, , ,,13100120,June 01-30 2021,221.529,2,for the month of June 01-30 2021
S357,SP,OPS,C000000011,S000000017, , ,,13100254,June 01-30 2021,20.139,2,for the month of June 01-30 2021
S357,SP,OPS,C000000011,S000000017, , ,,13100421,June 01-30 2021,1832.649,2,for the month of June 01-30 2021
S357,SP,OPS,C000000011,S000000017, , ,,13100728,June 01-30 2021,671.3,2,for the month of June 01-30 2021
S357,SP,OPS,C000000011,S000000017, , ,,13100843,June 01-30 2021,154.399,2,for the month of June 01-30 2021
S357,SP,OPS,C000000011,S000000017, , ,,13100850,June 01-30 2021,758.569,2,for the month of June 01-30 2021
S357,SP,OPS,C000000011,S000000017, , ,,13101110,June 01-30 2021,134.26,2,for the month of June 01-30 2021
S357,SP,OPS,C000000011,S000000017, , ,,13101118,June 01-30 2021,221.529,2,for the month of June 01-30 2021
S357,SP,OPS,C000000011,S000000017, , ,,13101208,June 01-30 2021,490.049,2,for the month of June 01-30 2021
S357,SP,OPS,C000000011,S000000017, , ,,13101209,June 01-30 2021,2906.729,2,for the month of June 01-30 2021
S357,SP,OPS,C000000011,S000000017, , ,,13100015,June 01-30 2021,1812.51,2,for the month of June 01-30 2021
S357,SP,OPS,C000000011,S000000017, , ,,13100313,June 01-30 2021,2503.949,2,for the month of June 01-30 2021
S357,SP,OPS,C000000011,S000000017, , ,,13101095,June 01-30 2021,3309.509,2,for the month of June 01-30 2021
S357,SP,OPS,C000000011,S000000017, , ,,13100095,June 01-30 2021,140.973,2,for the month of June 01-30 2021
S357,SP,OPS,C000000011,S000000017, , ,,13100237,June 01-30 2021,140.973,2,for the month of June 01-30 2021
S357,SP,OPS,C000000011,S000000017, , ,,13101104,June 01-30 2021,140.973,2,for the month of June 01-30 2021
S357,SP,OPS,C000000011,S000000017, , ,,13100904,June 01-30 2021,1174.775,2,for the month of June 01-30 2021
S357,SP,OPS,C000000011,S000000017, , ,,13101010,June 01-30 2021,1174.775,2,for the month of June 01-30 2021
