branch,division,dept,category,subcat,displaya,buyerid,itmdept,supplier_code,period,amount,paymentid,remarks
"S357","SP","OPS","C000000011","S000000017"," "," ","","13100209","August 01-31 2021",1074.080000,2,"for the month of August 01-31 2021"
"S357","SP","OPS","C000000011","S000000017"," "," ","","13100235","August 01-31 2021",4833.360000,2,"for the month of August 01-31 2021"
"S357","SP","OPS","C000000011","S000000017"," "," ","","13100308","August 01-31 2021",3222.240000,2,"for the month of August 01-31 2021"
"S357","SP","OPS","C000000011","S000000017"," "," ","","13100323","August 01-31 2021",1611.120000,2,"for the month of August 01-31 2021"
"S357","SP","OPS","C000000011","S000000017"," "," ","","13101210","August 01-31 2021",1074.080000,2,"for the month of August 01-31 2021"
"S357","SP","OPS","C000000011","S000000017"," "," ","","13300051","August 01-31 2021",1611.120000,2,"for the month of August 01-31 2021"
"S357","SP","OPS","C000000011","S000000017"," "," ","","13300510","August 01-31 2021",1074.080000,2,"for the month of August 01-31 2021"
"S357","SP","OPS","C000000011","S000000017"," "," ","","13100015","August 01-31 2021",3242.379000,2,"for the month of August 01-31 2021"
"S357","SP","OPS","C000000011","S000000017"," "," ","","13100046","August 01-31 2021",20.139000,2,"for the month of August 01-31 2021"
"S357","SP","OPS","C000000011","S000000017"," "," ","","13100107","August 01-31 2021",1094.219000,2,"for the month of August 01-31 2021"
"S357","SP","OPS","C000000011","S000000017"," "," ","","13100229","August 01-31 2021",1879.640000,2,"for the month of August 01-31 2021"
"S357","SP","OPS","C000000011","S000000017"," "," ","","13100289","August 01-31 2021",1074.080000,2,"for the month of August 01-31 2021"
"S357","SP","OPS","C000000011","S000000017"," "," ","","13100421","August 01-31 2021",1476.860000,2,"for the month of August 01-31 2021"
"S357","SP","OPS","C000000011","S000000017"," "," ","","13100315","August 01-31 2021",6444.480000,2,"for the month of August 01-31 2021"
"S357","SP","OPS","C000000011","S000000017"," "," ","","13100095","August 01-31 2021",319.986333,2,"for the month of August 01-31 2021"
"S357","SP","OPS","C000000011","S000000017"," "," ","","13100237","August 01-31 2021",319.986333,2,"for the month of August 01-31 2021"
"S357","SP","OPS","C000000011","S000000017"," "," ","","13101104","August 01-31 2021",319.986333,2,"for the month of August 01-31 2021"
"S357","SP","OPS","C000000011","S000000017"," "," ","","13100904","August 01-31 2021",2091.099500,2,"for the month of August 01-31 2021"
"S357","SP","OPS","C000000011","S000000017"," "," ","","13101010","August 01-31 2021",2091.099500,2,"for the month of August 01-31 2021"
