branch,division,dept,category,subcat,displaya,buyerid,itmdept,supplier_code,period,amount,paymentid,remarks
"S364","SP","OPS","C000000011","S000000017"," "," ","","13100006","May 01-31 2021",3222.240000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13100204","May 01-31 2021",1208.340000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13100235","May 01-31 2021",1611.120000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13100254","May 01-31 2021",2148.160000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13100308","May 01-31 2021",3222.240000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13100323","May 01-31 2021",1074.080000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13100789","May 01-31 2021",4296.320000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13101115","May 01-31 2021",3222.240000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13101118","May 01-31 2021",1074.080000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13101188","May 01-31 2021",3222.240000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13101210","May 01-31 2021",1074.080000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13100015","May 01-31 2021",422.919000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13100107","May 01-31 2021",221.529000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13100138","May 01-31 2021",537.040000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13100313","May 01-31 2021",2638.209000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13100340","May 01-31 2021",2349.550000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13100421","May 01-31 2021",671.300000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13100696","May 01-31 2021",268.520000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13100728","May 01-31 2021",1342.600000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13101072","May 01-31 2021",1631.259000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13101166","May 01-31 2021",1362.739000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13101209","May 01-31 2021",4316.459000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13300143","May 01-31 2021",402.780000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13100265","May 01-31 2021",8592.640000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13101043","May 01-31 2021",3242.379000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13100904","May 01-31 2021",1611.120000,2,"for the month of May 01-31 2021"
"S364","SP","OPS","C000000011","S000000017"," "," ","","13101010","May 01-31 2021",1611.120000,2,"for the month of May 01-31 2021"
