branch,division,dept,category,subcat,displaya,buyerid,itmdept,supplier_code,period,amount,paymentid,remarks
S365,SP,OPS,C000000011,S000000017, , ,,13100006,August 01-31 2022,3222.24,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13100204,August 01-31 2022,1208.34,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13100308,August 01-31 2022,805.56,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13100323,August 01-31 2022,1074.08,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13100421,August 01-31 2022,3222.24,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13100843,August 01-31 2022,1611.12,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13101208,August 01-31 2022,1074.08,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13101240,August 01-31 2022,3222.24,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13101245,August 01-31 2022,3222.24,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13200002,August 01-31 2022,1611.12,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13300143,August 01-31 2022,1074.08,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13100015,August 01-31 2022,805.56,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13100114,August 01-31 2022,87.269,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13100120,August 01-31 2022,201.39,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13100138,August 01-31 2022,1429.869,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13100181,August 01-31 2022,959.959,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13100289,August 01-31 2022,422.919,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13100292,August 01-31 2022,1074.08,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13100340,August 01-31 2022,691.439,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13100399,August 01-31 2022,4182.199,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13100850,August 01-31 2022,1832.649,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13101095,August 01-31 2022,825.699,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13101110,August 01-31 2022,825.699,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13101115,August 01-31 2022,939.82,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13101209,August 01-31 2022,201.39,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13100107,August 01-31 2022,1094.219,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13101072,August 01-31 2022,691.439,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13101213,August 01-31 2022,2101.169,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13100702,August 01-31 2022,984.573333,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13100861,August 01-31 2022,984.573333,2,for the month of August 01-31 2022
S365,SP,OPS,C000000011,S000000017, , ,,13100405,August 01-31 2022,984.573333,2,for the month of August 01-31 2022
