branch,division,dept,category,subcat,displaya,buyerid,supplier_code,period,amount,paymentid,remarks
S338,SP,OPS,C000000011,S000000017, , ,13100073,December 01-31 2015,932,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13100095,December 01-31 2015,932,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13100412,December 01-31 2015,932,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13100703,December 01-31 2015,2796,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13100856,December 01-31 2015,699,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13100918,December 01-31 2015,1864,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13200002,December 01-31 2015,5592,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13100265,December 01-31 2015,5067.75,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13100289,December 01-31 2015,1298.975,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13100782,December 01-31 2015,466,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13100880,December 01-31 2015,466,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13100204,December 01-31 2015,184.215625,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13100407,December 01-31 2015,184.215625,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13100436,December 01-31 2015,184.215625,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13100925,December 01-31 2015,184.215625,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13101078,December 01-31 2015,184.215625,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13101079,December 01-31 2015,184.215625,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13101081,December 01-31 2015,184.215625,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13100731,December 01-31 2015,184.215625,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13100732,December 01-31 2015,495.125,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13101000,December 01-31 2015,495.125,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13100006,December 01-31 2015,1048.5,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13100913,December 01-31 2015,1048.5,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13100215,December 01-31 2015,932,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13100904,December 01-31 2015,932,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13101077,December 01-31 2015,932,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13100337,December 01-31 2015,699,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13100748,December 01-31 2015,699,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13101015,December 01-31 2015,1165,2,for the month of December 01-31 2015
S338,SP,OPS,C000000011,S000000017, , ,13101033,December 01-31 2015,1165,2,for the month of December 01-31 2015
